"","Family","Species_name","Genus","F_mass","M_mass","F_tail","M_tail","Clutch_size","Mating_System","Display","Resource"
"103","34","Alcedo leucogaster","Alcedo",14.7,14.5,NA,NA,NA,NA,NA,NA
"104","34","Alcedo pusilla","Alcedo",14,15,24.5,23.8,4.5,NA,NA,NA
"105","34","Alcedo quadribrachys","Alcedo",36.8,34.3,36.6,35.5,5.5,NA,NA,NA
"106","34","Alcedo semitorquata","Alcedo",35,40.2,40.2,39.8,3.5,NA,NA,NA
"107","123","Aleadryas rufinucha","Aleadryas",NA,NA,NA,NA,NA,"2",NA,NA
"108","8","Alectoris barbara","Alectoris",NA,NA,83.6,95.1,12,NA,"2",NA
"109","8","Alectoris chukar","Alectoris",501,536,78.9,82.3,11.5,NA,"1","1"
"110","8","Alectoris graeca","Alectoris",575,700,NA,NA,11,"2","1","0"
"111","8","Alectoris rufa","Alectoris",439,516,84.4,93.2,13,"2","1","1"
"112","7","Alectura lathami","Alectura",2210,2450,261.7,270.2,14.78,"4","1","0"
"113","128","Alethe choloensis","Alethe",NA,NA,NA,NA,NA,NA,NA,NA
"114","128","Alethe diademata","Alethe",29.8,32.6,NA,NA,NA,NA,NA,NA
"115","128","Alethe fuelleborni","Alethe",49.7,49,NA,NA,NA,NA,NA,NA
"116","128","Alethe poliocephala","Alethe",25.8,27.3,NA,NA,NA,NA,NA,NA
"117","128","Alethe poliophrys","Alethe",35.1,35.3,NA,NA,NA,NA,NA,NA
"118","45","Alisterus scapularis","Alisterus",242.9,221.5,NA,NA,4.5,"2","4","1"
"119","82","Alle alle","Alle",151,154,40.7,41.5,1,"2","3","0"
"120","14","Alopochen aegyptiacus","Alopochen",1650,2075,121,123,8.5,NA,"1","0"
"121","145","Amadina erythrocephala","Amadina",23.1,23.2,45.2,47.2,4.2,NA,"1","0"
"122","145","Amadina fasciata","Amadina",18,17.8,38,41.4,5,NA,"1","1"
"123","117","Amalocichla incerta","Amalocichla",NA,NA,NA,NA,NA,"2",NA,NA
"124","145","Amandava amandava","Amandava",9.8,10,36.3,37,5.3,"4","1","1"
"125","145","Amandava subflava","Amandava",4,NA,NA,NA,NA,NA,NA,NA
"126","140","Amaurocichla bocagii","Amaurocichla",NA,NA,35.5,37.5,NA,NA,NA,"1"
"127","69","Amaurornis flavirostra","Amaurornis",90,98,41,43,3,NA,NA,NA
"128","69","Amaurornis olivaceus","Amaurornis",NA,177,NA,NA,5.8,"2","1","1"
"129","48","Amazilia amabilis","Amazilia",2.6,3.9,NA,NA,NA,NA,NA,NA
"130","48","Amazilia amazilia","Amazilia",3.8,3.9,NA,NA,NA,NA,NA,NA
"131","48","Amazilia beryllina","Amazilia",4.8,4.8,NA,NA,NA,NA,NA,NA
"132","48","Amazilia candida","Amazilia",3,4.5,NA,NA,NA,NA,NA,NA
"133","48","Amazilia cyanocephala","Amazilia",5,6.5,NA,NA,NA,NA,NA,NA
"134","48","Amazilia fimbriata","Amazilia",4.7,5.1,NA,NA,NA,NA,NA,NA
